DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
18-11-2013,488,129.98,48.01,0.68,NaN,,443960,385931,249922,0.719,74.53,1.91,NaN,255.54,10.41
19-11-2013,390,127.27,54.93,0.72,NaN,,443960,385931,249922,0.719,72.17,1.81,NaN,214.17,9.02
20-11-2013,323,97.2,57.27,0.59,NaN,,443960,385931,249922,0.719,107.46,4.31,NaN,282.29,14.73
21-11-2013,204,79.25,62.9,0.64,NaN,,443960,385931,249922,0.719,98.98,3.65,NaN,288.43,10.68
22-11-2013,80,78.63,73.71,0.55,NaN,,443960,385931,249922,0.719,92.2,2.86,NaN,237.79,10.89
23-11-2013,42,126.29,62.63,0.61,NaN,,443960,385931,249922,0.719,96.11,2.66,NaN,248.19,10.81
24-11-2013,39,116.76,60.17,0.65,NaN,,443960,385931,249922,0.719,71.34,1.73,NaN,223.7,7.84
25-11-2013,76,142.34,53.77,0.73,NaN,,443960,385931,249922,0.719,61.34,1.34,NaN,200.5,9.19
26-11-2013,59,140.19,50.9,0.79,NaN,,443960,385931,249922,0.719,60.03,1.63,NaN,193.76,9.74
27-11-2013,34,120.49,57.3,0.62,NaN,,443960,385931,249922,0.719,90.6,3.01,NaN,214.59,10.52
28-11-2013,23,96.12,66.27,0.56,NaN,,443960,385931,249922,0.719,99.57,2.94,NaN,233.79,8.65
29-11-2013,36,135.73,60.01,0.69,NaN,,443960,385931,249922,0.719,82.93,1.86,NaN,225.47,13.91
30-11-2013,56,130.96,53.46,0.72,NaN,,443960,385931,249922,0.719,73.14,2.06,NaN,200.18,7.45
01-12-2013,66,99.1,53.98,0.61,NaN,,443960,385931,249922,0.719,78.27,2.29,NaN,184.24,5.28
02-12-2013,19,86.74,54.12,0.65,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
03-12-2013,26,74.93,56.32,0.57,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
04-12-2013,53,120.61,61.12,0.61,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
05-12-2013,26,134.67,51.76,0.77,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
